"Method","Path","Function","File","Line"
"GET","/{workspace}/processing-center/job-history","get_processing_job_history","backend\app\api\processing_center_azure.py","1572"
"GET","/{workspace}/processing-center/jobs/{job_id}","get_processing_job","backend\app\api\processing_center_azure.py","1611"
"GET","/{workspace}/processing-center/jobs/{job_id}/report","get_processing_job_report","backend\app\api\processing_center_azure.py","2332"
"GET","/{workspace}/processing-center/pricing/ocr-read","get_processing_center_ocr_read_pricing","backend\app\api\processing_center_azure.py","824"
"POST","/{workspace}/processing-center/promote","promote_processing_center_staged_results","backend\app\api\processing_center_azure.py","2152"
"GET","/{workspace}/processing-center/settings","processing_center_settings","backend\app\api\processing_center_azure.py","807"
"GET","/{workspace}/processing-center/staged-results","list_processing_center_staged_results","backend\app\api\processing_center_azure.py","2076"
"GET","/{workspace}/processing-center/staged-results/{job_id}","get_processing_center_staged_results","backend\app\api\processing_center_azure.py","2133"
"POST","/{workspace}/processing-center/tracked-jobs/{job_id}/cancel","cancel_tracked_azure_processing_job","backend\app\api\processing_center_azure.py","1166"
"GET","/{workspace}/processing-center/tracked-jobs/{job_id}/status","get_tracked_azure_processing_job_status","backend\app\api\processing_center_azure.py","1147"
"POST","/{workspace}/processing-center/tracked-jobs/start","start_tracked_azure_processing_job","backend\app\api\processing_center_azure.py","1039"
"GET","/{workspace}/processing-center/uploads","list_processing_uploads","backend\app\api\processing_center_azure.py","857"
"POST","/{workspace}/processing-center/uploads/archive","archive_processing_uploads","backend\app\api\processing_center_azure.py","1018"
"POST","/{workspace}/processing-center/uploads/remove","remove_processing_uploads","backend\app\api\processing_center_azure.py","991"
"POST","/{workspace}/processing-center/uploads/upload","upload_to_azure_processing_center","backend\app\api\processing_center_azure.py","928"
