"Path","Methods"
"/api/{workspace}/processing-center/azure-run/start","post"
"/api/{workspace}/processing-center/job-history","get"
"/api/{workspace}/processing-center/jobs","get"
"/api/{workspace}/processing-center/jobs/{job_id}","get"
"/api/{workspace}/processing-center/jobs/{job_id}/promote","post"
"/api/{workspace}/processing-center/jobs/{job_id}/report","get"
"/api/{workspace}/processing-center/jobs/start","post"
"/api/{workspace}/processing-center/manifest","get"
"/api/{workspace}/processing-center/pricing/ocr-read","get"
"/api/{workspace}/processing-center/promote","post"
"/api/{workspace}/processing-center/settings","get"
"/api/{workspace}/processing-center/staged-results","get"
"/api/{workspace}/processing-center/staged-results/{job_id}","get"
"/api/{workspace}/processing-center/start","post"
"/api/{workspace}/processing-center/tracked-jobs/{job_id}/cancel","post"
"/api/{workspace}/processing-center/tracked-jobs/{job_id}/status","get"
"/api/{workspace}/processing-center/tracked-jobs/start","post"
"/api/{workspace}/processing-center/upload","post"
"/api/{workspace}/processing-center/uploads","get"
"/api/{workspace}/processing-center/uploads/archive","post"
"/api/{workspace}/processing-center/uploads/remove","post"
"/api/{workspace}/processing-center/uploads/upload","post"
