"Severity","Issue","File","Line","Text"
"REVIEW","Direct APC uploads path literal","backend\apc\azure_blob_adapter.py","127","{client}/{workspace}/{project_storage_key}/source/processing_center/uploads/"
"REVIEW","Direct APC jobs/staged/reports/archive path literal","backend\apc\azure_blob_adapter.py","130","{client}/{workspace}/{project_storage_key}/processing_center/archive/{job_id}/uploads/"
"REVIEW","Direct APC jobs/staged/reports/archive path literal","backend\apc\azure_blob_adapter.py","137","f""{self.routing.prefix}/processing_center/archive/"""
"REVIEW","Direct APC jobs/staged/reports/archive path literal","backend\apc\azure_blob_adapter.py","242","{client}/{workspace}/{project_storage_key}/processing_center/staged/{job_id}/native/"
"REVIEW","Direct APC jobs/staged/reports/archive path literal","backend\apc\azure_blob_adapter.py","243","{client}/{workspace}/{project_storage_key}/processing_center/staged/{job_id}/text/"
"REVIEW","Direct APC jobs/staged/reports/archive path literal","backend\apc\azure_blob_adapter.py","256","f""{self.routing.prefix}/processing_center/staged/{job_id}"""
"REVIEW","Direct APC jobs/staged/reports/archive path literal","backend\apc\azure_blob_adapter.py","424","staged_prefix = f""{routing.prefix}/processing_center/staged/{job_id}"""
"REVIEW","Direct APC jobs/staged/reports/archive path literal","backend\apc\azure_blob_adapter.py","533","This writes to insytprodstorage under processing_center/jobs/{job_id}/status.json,"
"REVIEW","Direct APC uploads path literal","backend\apc\azure_job_runner.py","106","# pending in source/processing_center/uploads. Without clearing this"
"REVIEW","Storage normalization helper","backend\apc\azure_layout.py","25","def clean_segment(value: str | None) -> str:"
"REVIEW","Storage normalization helper","backend\apc\azure_layout.py","29","def storage_segment(value: str | None) -> str:"
"REVIEW","Storage normalization helper","backend\apc\azure_layout.py","30","return clean_segment(value).replace("" "", ""_"")"
"REVIEW","Storage normalization helper","backend\apc\azure_layout.py","58","workspace_clean = clean_segment(workspace).lower() or ""capture"""
"REVIEW","Storage normalization helper","backend\apc\azure_layout.py","63","client=clean_segment(client),"
"REVIEW","Storage normalization helper","backend\apc\azure_layout.py","64","project=storage_segment(project),"
"REVIEW","Storage normalization helper","backend\apc\azure_layout.py","100","client = clean_segment(self.client)"
"REVIEW","Storage normalization helper","backend\apc\azure_layout.py","101","workspace = clean_segment(self.workspace).lower() or ""capture"""
"REVIEW","Storage normalization helper","backend\apc\azure_layout.py","102","project = storage_segment(self.project)"
"REVIEW","Direct APC uploads path literal","backend\apc\azure_layout.py","122","""uploads"": f""{p}/source/processing_center/uploads"","
"REVIEW","Direct APC jobs/staged/reports/archive path literal","backend\apc\azure_layout.py","123","""work"": f""{p}/processing_center/work"","
"REVIEW","Direct APC jobs/staged/reports/archive path literal","backend\apc\azure_layout.py","124","""temp"": f""{p}/processing_center/temp"","
